2	2	7083.8	22.85
1	3	6522.7	66.65
4	4	4748.9	60.7
0	4	3410.9	39.5
3	1	5239.4	16.7
4	3	6668.2	39.45
1	0	1490.7	49.5
3	3	7008.6	56.75
7	1	2062.6	66.35
1	4	2103	17.75
6	3	1817.6	48.5
2	0	2104.5	11.7
3	4	7609.3	57.8
6	4	4366.4	63.8
6	3	5085.9	50.25
5	2	2603.2	48.45
4	3	1516.4	62.9
0	1	7630.4	65.45
0	1	3972.8	59.45
7	1	4198	52
5	1	1583.7	56.9
6	2	2859.8	13.05
4	0	7913.3	22.9
4	0	4537.4	5.45
3	1	2112.3	33.75
4	3	2877.8	43
3	2	1042.4	42.65
1	2	5103	57.1
5	0	4405.3	41
4	0	920.1	55.25
7	1	3495	60.45
6	1	2796.7	51.95
3	2	3970.1	35.9
5	0	956.8	23.7
1	1	5559.5	52.2
5	4	2957	59.05
2	3	3307.2	39.65
3	1	6317.7	46.45
6	4	7351.1	25
0	2	4023.5	56.65
4	4	5718.6	19.35
7	3	7932.3	31.6
7	1	4413.1	55.8
3	2	5995.2	28.7
7	1	887.9	42.55
6	1	5928.7	21.95
7	0	4865.6	68.95
4	2	1739.7	33.1
1	0	7381.5	32.9
4	4	7617.5	67.85
7	3	1083.3	43.5
4	2	2203.4	60.65
2	4	4191.2	46.45
7	3	6077.2	32.6
0	1	5199	22.4
1	4	6627.5	32
6	1	6491.2	43.45
2	1	4225.6	13.95
7	1	1308.7	12.8
0	4	2707.7	37.8
2	3	2637.8	64.25
4	2	4953.6	21.6
2	0	1596.2	66.25
6	2	7552.1	24.15
5	0	3850.3	43.15
3	2	1373.5	53.95
7	4	3004	64.85
1	3	6929.9	38.5
2	0	2865.7	36.95
3	2	6643.9	17.6
2	0	6613.9	13.2
6	4	5906.6	23.55
3	4	7373.7	16.75
5	3	4347.9	11.85
0	0	6310.4	38.7
5	0	1799.6	47.85
0	2	4937.4	52.4
6	4	6854.5	23.6
2	2	2254.2	39
5	3	3757.5	55.65
7	3	2258.1	14.9
0	2	3679	24.9
3	0	5749.3	45.25
4	4	1653.6	32.7
0	1	4107.6	67.6
5	3	6874.6	33.55
6	1	4918.7	31.3
1	3	7890.3	34.75
4	0	2569.5	62.3
6	3	6826.7	22.4
7	2	4312.9	6.7
5	4	2898.3	8.5
3	0	2647.9	21.1
1	4	3371.1	49.3
2	4	2792	68.05
1	4	3655.6	32.85
5	2	1120.3	55.35
3	4	1242	21
2	0	1772.4	43.8
1	2	5120.4	58.65
3	4	7921.1	63.7
0	0	4854.6	59.5
6	3	4750.8	10.5
5	1	846.9	61.4
6	4	7767.8	63.55
5	1	4414.2	20.15
1	2	3219.1	16.75
0	3	6984.2	56.45
1	0	7470.2	41.9
7	0	2575.7	26.9
1	1	6558.9	22
5	1	3713.4	60.5
4	2	2539.5	20.4
2	2	4059.5	45.25
0	0	7987.2	40.05
2	1	2670.3	65.3
0	4	6658	54.1
0	1	4380.1	48.95
7	0	3637.3	53.85
2	3	3237.1	55.7
